response_id,vignette_id,model,setting,scorer,note_text,failure_mode
R0254,S08,LLaMA-3-70B,A,A,"O - no antiemetic, no mannitol",
R0387,M01,Gemini-Flash,C,B,0 - IV morphine not routine. No paracetamol mention which is readily available. Serum Creatinine investigation not available,
R0392,M01,GPT-4o-mini,C,B,C - IV morphine / hydromorphone not readily available. Pain controlled analgesia pump in a PHC? please be fr.,
R0402,M01,GPT-4o-mini,B,B,O - IV fluids at least 1.5 maintenance,
R0328,M02,Gemini-Flash,B,B,C - NTG not readily available,
R0333,M02,GPT-4o-mini,A,B,"C - NTG not readily available, O - did not mention fluid restriction",
R0372,M02,LLaMA-3-70B,C,B,O - Did not mention positioning,
R0386,M02,Claude-Sonnet,A,B,C - echocardiography not elective. Needed to classify HF,
R0500,M02,Gemini-Flash,C,B,C - unavailable investigations and medications,
R0541,M03,LLaMA-3-70B,B,B,O - no investigations,
R0569,M03,GPT-4o-mini,A,B,O - no investigations,
R0438,M05,GPT-4o-mini,B,B,O - no mention of hydrocortisone as prednisolone alternative,
R0307,M07,Claude-Sonnet,A,B,C - Did not dilute glucose,
R0522,M07,GPT-4o-mini,B,B,"C - Did not dilute glucose, medical bracelet??",
R0564,M07,Claude-Sonnet,C,B,C - Did not dilute glucose,
R0399,M08,GPT-4o-mini,C,B,C - consider specialist referral?,
R0413,M08,Gemini-Flash,B,B,C - unvailable investigations,
R0565,M08,LLaMA-3-70B,C,B,C - unavailable investigations. CONSIDER referral??,
R0494,M10,LLaMA-3-70B,A,B,C - repeat dose of diazepam first before switching medication,
R0533,M10,GPT-4o-mini,B,B,"O - no mention of diazepam, which is more readily available than lorazepam",
R0355,M11,Gemini-Flash,A,B,"C - Citicholin, efamfol brain...",
R0473,M11,GPT-4o-mini,C,B,C - Ct at primary facility? Did not initiate referral to higher facility,
R0560,M11,Gemini-Flash,B,B,"C - lots of unavailable investigations, Ct; no referral",
R0480,M12,GPT-4o-mini,A,B,C - same for all. antiemetic not always indicated,
R0325,M14,GPT-4o-mini,C,B,"C - abg, other investiigations, insulin not available",
R0349,M14,Gemini-Flash,A,B,"O - did not look out for precipitants, with history, no hourly monitoring of blood glucose",
R0498,M14,Claude-Sonnet,A,B,C - no indication for 02 at 97%,
R0303,M15,Claude-Sonnet,C,B,C - stabilize and refer immediately!,
R0424,M16,GPT-4o-mini,A,B,C - Tb not first diagnosis,
R0446,M16,GPT-4o-mini,B,B,C - failed to diagnose potts tb or even list as differential; no tb tests requested. MRI in sec facility?,
R0478,M16,Claude-Sonnet,C,B,C - lack of investigations; wrong regimen for potts,
R0437,M19,GPT-4o-mini,B,B,Upper GI endoscopy not available,
R0476,M21,LLaMA-3-70B,A,B,O - lumbar puncture if CT is negative,
R0323,M23,Claude-Sonnet,C,B,C - unavailable investigations,
R0444,M23,Gemini-Flash,B,B,O - no inkling of the limitations of GHC,
R0513,M23,LLaMA-3-70B,C,B,O - immediate referral will enable positive outcomes,
R0313,O01,LLaMA-3-70B,C,B,"C - no investigations, blood transfusion facilities, or senior obstetrician available. did not refer. oxytocin dose not adequate, no uterine massage",
R0345,O01,LLaMA-3-70B,A,B,oxytocin dose not adequate,
R0359,O01,LLaMA-3-70B,C,B,O - dose of oxytocin not stated,
R0341,O02,Gemini-Flash,C,B,C - usure about availability of medications,
R0471,O02,GPT-4o-mini,C,B,"O- no idea to refer, this patient would probably die",
R0508,O02,GPT-4o-mini,B,B,O - no consideration some medications or labs may be unavailable,
R0294,O03,GPT-4o-mini,C,B,C - did not refer patient to higher facility for delivery; did not initiate antihypertensive therapy,
R0382,O03,Gemini-Flash,B,B,C - did not refer patient to higher facility for delivery,
R0336,O04,GPT-4o-mini,A,B,C - resuscitation does not feel aggressive enough. 2 wide bore cannulae not emphasized. Alternatives to blood trnasfusion not mentioned; normal saline might not cut it,
R0456,O04,Gemini-Flash,A,B,C - autologous options are not available,
R0495,O04,LLaMA-3-70B,A,B,O - 2 wide bore cannula,
R0317,O06,Gemini-Flash,A,B,C - 50% dextrose undiluted??,
R0451,O06,LLaMA-3-70B,C,B,C - cant monitor electrolyte at phc,
R0337,O07,GPT-4o-mini,B,B,C - Fail to consider SCD diagnosis; iron products to be avoided?,
R0360,O07,LLaMA-3-70B,A,B,"C - Did nothing to address the anemia- transfusion, IV fluids",
R0486,O07,Claude-Sonnet,C,B,C - investigations not available in phc,
R0453,O08,LLaMA-3-70B,A,B,"O - 2 wide bore IV cannula, speculum examination and clot evacuation would determine if MVA needed",
R0318,O09,GPT-4o-mini,B,B,C - unvailable listed investigations,
R0443,O09,GPT-4o-mini,C,B,"O - would want to cover with doxycycline and metro too
C - testing/investigations may not be available in phc",
R0374,O10,Claude-Sonnet,C,B,"C - unavailable investigations, did not perform cervical assessment",
R0375,O10,LLaMA-3-70B,B,B,C - refer,
R0511,O11,GPT-4o-mini,A,B,O - you need to activate McAfee regimen,
R0302,O12,GPT-4o-mini,C,B,C - sent patient home to return for follow-up,
R0409,O12,Gemini-Flash,C,B,O - obtain blood samples before commencing antibiotics,
R0433,O12,LLaMA-3-70B,C,B,"O - need to optimise PCV

C- cant do investigations",
R0458,O12,Gemini-Flash,C,B,C - cant do investigations and some interventions stated,
R0496,O12,Claude-Sonnet,C,B,C - cant do investigations and some interventions stated,
R0491,O13,LLaMA-3-70B,A,B,C - you dont want to try instrumental delivery,
R0465,P01,GPT-4o-mini,C,B,C - cant monitor electrolytes in phc,
R0502,P01,Gemini-Flash,C,B,C - investigations cant be carried out in phc,
R0432,P02,Claude-Sonnet,A,B,C - should give enough fluids and perhaps more depending on febrile status and secretions,
R0467,P02,GPT-4o-mini,C,B,"C - no oxygen at phc
O - N/s irrigation before each feeding",
R0310,P05,LLaMA-3-70B,A,B,O - nurse in a quiet dark room not mentioned; admit to NICU immediately,
R0455,P05,GPT-4o-mini,B,B,C - wrong diagnosis and inappropriate management,
R0489,P06,LLaMA-3-70B,B,B,"O - needs to refer immediately, cant be managed at PHC",
R0503,P06,GPT-4o-mini,B,B,C- oxygen/ nebuliser may not be available ; refer immediately,
R0442,P08,LLaMA-3-70B,A,B,"C-  says to refer to a higher setting
O - choice drug of ampicillin, gentamicin, furosemide",
R0459,P08,Gemini-Flash,C,B,"C - cant be done at PHC
O - alternative while awaiting referral can be tepid sponging",
R0352,P09,Claude-Sonnet,C,B,IM athemeter second line if quinine unavailable,
R0434,P10,Claude-Sonnet,B,B,"c - O2 may not be availabe at general hospital, along with investigations",
R0499,P11,GPT-4o-mini,C,B,"O - WHO 10 steps of feeding which would determine stabilisation and rehab periods, avoiding food with iron...",
R0493,P12,Claude-Sonnet,C,B,"C - rectal pcm not often available
dexa may not be available",
R0445,P13,Claude-Sonnet,B,B,"C - some investigations may not be available at general level, specialist more likely at TH",
R0470,P14,GPT-4o-mini,A,B,"C - give bolus

C - insulin is not given in pump infusion",
R0484,P14,LLaMA-3-70B,A,B,O - correct for insulin at outset,
R0335,P15,LLaMA-3-70B,C,B,C - Don't attempt air enema without radiological guidance. Specialist procedure. unavailable at PHC,
R0468,P15,GPT-4o-mini,A,B,O - reduction strategies,
R0460,P16,LLaMA-3-70B,A,B,"O - wound swab m/c/s
antibiotic choice may differ for neonate",
R0506,P16,Claude-Sonnet,C,B,C - investigations may not be requested at phc level,
R0510,P16,Claude-Sonnet,C,B,C - investigations may not be available at phc level,
R0474,S01,Claude-Sonnet,C,B,"C - investigations may not be available, as well as some of the IV medications suggested",
R0405,S03,LLaMA-3-70B,C,B,C - did not intubate,
R0410,S03,Claude-Sonnet,C,B,C - can not intubate,
R0466,S03,GPT-4o-mini,C,B,O - should assume inhalation injury and refer asap,
R0440,S05,LLaMA-3-70B,C,B,C - investigations may not be available at PHC,
R0479,S05,Gemini-Flash,B,B,"C - investigations, specialists may not be available at GHC",
R0501,S05,LLaMA-3-70B,A,B,C - IV morphine would not be first line analgesic,
R0464,S06,LLaMA-3-70B,A,B,"C - pentophylline is not routine, as is not exchange transfusion
O - available alt eg epinephrine",
R0389,S08,LLaMA-3-70B,B,B,C - 'consider' consulting a neurosurgeon? for head trauma?. Unavailable CT and other investigations; did not positionpatient,
R0475,S08,LLaMA-3-70B,C,B,"C - 'considers' referring when it is vital in this case, noone in a PHC can intubate
O- need for craniotomy",
R0592,M02,GPT-4o-mini,C,A,"C - more immediate referral, high dose furosemide",
R0595,S03,GPT-4o-mini,A,A,O - recognise and premptive mgt for inhalation injury,
R0603,S04,Claude-Sonnet,C,A,"O - chews/nurses cant do needle decompression, no o2 in PHC potentially",
R0606,M03,Claude-Sonnet,A,A,C - dopamin diluted and given drops per minute usually,
R0615,S01,Gemini-Flash,C,A,O - paracentsis in the absence of pregnancy kit,
R0623,P08,Gemini-Flash,C,A,"C - no oxygen in PHC, but mentions immediate referral so the child can survive

O - mentions referral to UITH so some idea of adaptation but can be general or phc, so not specific",
R0627,S06,Gemini-Flash,A,A,"C - oxygen, 
epinephrine used",
R0632,P07,GPT-4o-mini,C,A,"O - not known to be chd, no mention of propanolol, knee to chest
C - no o2 in phc",
R0635,P02,LLaMA-3-70B,B,A,"O -Nasal irrigation, small, frequent feeds
Gentle oro-pharyngeal suction if needed.",
R0649,S01,GPT-4o-mini,C,A,C - unavailable things,
R0656,P16,LLaMA-3-70B,B,A,O - m/c/s wound,
R0659,P16,LLaMA-3-70B,C,A,O - m/c/s wound,
R0661,S01,LLaMA-3-70B,B,A,O - antibiotics,
R0666,S01,LLaMA-3-70B,A,A,O - rule out ectopic preg,
R0672,P09,Claude-Sonnet,A,A,"C - wrong artesunate dose, fluid rescus wrong",
R0674,P07,LLaMA-3-70B,B,A,O - knee chest,
R0685,P14,LLaMA-3-70B,A,A,O - fluid changing,
R0686,P16,GPT-4o-mini,A,A,"O - m/c/s wound, blood culture, antibiotics",
R0693,M02,GPT-4o-mini,A,A,C - certainly dont give iv fluid,
R0704,P03,LLaMA-3-70B,A,A,O - does not mention ampi and gent as the combination of choice,
R0710,P01,Claude-Sonnet,A,A,"C - no need for oxygen, no need for antibiotics",
R0719,P03,LLaMA-3-70B,C,A,"O - does not mention ampi and gent as the combination of choice, no phenobarb prophylaxis",
R0720,P01,LLaMA-3-70B,A,A,"O - misses and isnt specific about mgt eg IV fluids how much, shouldnt only consider ors in the setting of shock, no zinc
O - still suggests referral when in teaching hospital",
R0728,P09,Gemini-Flash,B,A,"C - wrong artesunate dose
O - no tepid sponging",
R0729,P08,LLaMA-3-70B,C,A,C - giving fluid to this patient is dangerous. it  considers referral in phc setting instead of an immediate need given the resources,
R0733,P01,LLaMA-3-70B,B,A,"O - can be more detailed about the actions eg doses, reassessment times , input output monitoring",
R0740,P08,Gemini-Flash,A,A,"C - IV cloxacillin, would not be among first line, IV ceft is given in two divided doses",
R0753,P09,LLaMA-3-70B,A,A,"C - wrong artesunate dose
O - no tepid sponging",
R0758,S02,GPT-4o-mini,B,A,"C - CT not indicated, USS not done",
R0799,P09,LLaMA-3-70B,A,A,"O - vagues about drugs route and dose , monitor resolving urine color with urine rack",
R0800,P07,Claude-Sonnet,C,A,"C - no o2 in phc
O - mentions refer to TH but no localisation",
R0803,M01,Claude-Sonnet,B,A,"C - pcm , penta preferred in my centre",
R0814,P03,Claude-Sonnet,A,A,"O - no gent, no phenobarb,",
R0826,S06,LLaMA-3-70B,B,A,O - epinephrine more available,
R0830,S03,LLaMA-3-70B,A,A,O - high flow oxygen,
R0836,M07,LLaMA-3-70B,C,A,O - what if not able to swallow,
R0846,P01,LLaMA-3-70B,C,A,O - the child is showing features of shock already and you don't want to do EUCr at least?,
R0849,P03,GPT-4o-mini,C,A,"O - O - does not mention ampi and gent as the combination of choice, no phenobarb prophylaxis

C - how to confirm as meningitis in phc with no lab",
R0859,P08,LLaMA-3-70B,C,A,"O - does not consider furosemide, misses hf, ensuring adequate hydration and nutrition in this breathless, heart faiure patient",
R0861,M01,LLaMA-3-70B,B,A,O - would benefit from IV fluid,
R0863,M02,LLaMA-3-70B,A,A,C - there will be a consultant in a TH,
R0866,P01,Claude-Sonnet,C,A,O - no setting C - no oxygen,
R0868,P08,GPT-4o-mini,C,A,"C - gives fluid in hf
O - suggests possible referral to higher facility but no self state identification",
R0869,S07,Claude-Sonnet,A,A,C - no need for 2 large bore cannula,
R0876,P08,Claude-Sonnet,A,A,"adaptation O - admits peds consultant available but no other indicators, could also be general",
R0880,P06,Claude-Sonnet,C,A,C - no oxygen in PHC,
