response_id,vignette_id,unit,title,setting,condition,block,model,A_accuracy,A_adaptation,A_actionable,A_cultural,B_accuracy,B_adaptation,B_actionable,B_cultural,C_accuracy,C_adaptation,C_actionable,C_cultural,final_accuracy,final_adaptation,final_actionable,final_cultural,final_total,needs_adjudication,total_diff,A_notes,B_notes,C_notes,adjudication_notes
R0079,M13,,,C,1,1,LLaMA-3-70B,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,5.0,False,0.0,"O - earlier referral
C - non-available interventions",,,
R0141,M13,,,A,1,1,GPT-4o-mini,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,,,,,1.0,1.5,0.0,0.5,3.0,False,0.0,"O - paracentesis is vital in this mgt
C- refers at TH",O - no paracentesis,,
R0108,M14,,,A,2,1,LLaMA-3-70B,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,1.0,2.0,2.0,0.0,5.0,False,0.0,O - could benefit from HbA1c and failed to mention the fluid giving regimen,,,
R0122,M14,,,A,1,1,Claude-Sonnet,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,,,,,1.0,1.0,1.5,0.0,3.5,False,1.0,"O - would need more fluid than that

C - labs are not usually repeated every 2 hrs",,,
R0136,M14,,,C,2,1,LLaMA-3-70B,2.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,,,,,2.0,2.0,1.5,0.0,5.5,False,1.0,,PHC unlikely to have insulin,,
R0080,M15,,,C,1,1,LLaMA-3-70B,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,1.0,1.0,0.0,0.0,2.0,False,0.0,"C - tourniquet is removed gradually
C - anti-venom is unlikely to be available in a PHC so would need to identify if likely venomous or non-venomous bite",O - proper tourniquet removal technique not described C - PHC not likely to stock antivenom; refer immediately after immobilization and wound care,,
R0150,M15,,,A,1,1,Claude-Sonnet,1.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,1.0,2.0,2.0,0.0,5.0,False,0.0,C - 20WBCT not routinely available,O - did not immobilize affected limb,,
R0159,M15,,,A,1,1,Gemini-Flash,1.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,,,,1.5,2.0,2.0,0.0,5.5,False,1.0,C - 20WBCT not routinely available,,,
R0168,M15,,,B,1,1,GPT-4o-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,4.0,False,0.0,O - you want to refer in the absence of anti-venom not wait for signs of envenomation/swelling,"C - no antivenom, tournoquet not removed gradually",,
R0239,M15,,,B,1,1,Claude-Sonnet,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,,,,,2.0,1.0,1.5,0.0,4.5,False,1.0,C - antivenom may not be available in GH,,,
R0240,M15,,,B,1,1,LLaMA-3-70B,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,,,,1.0,0.5,1.0,0.0,2.5,False,1.0,"C - not immediate removal of tourniquet
, anti-venom may not be available, ",,,
R0056,M16,,,C,1,1,Gemini-Flash,2.0,1.0,2.0,0.0,2.0,2.0,1.0,1.0,,,,,2.0,1.5,1.5,0.5,5.5,False,1.0,C - investigations not available,,,
R0137,M16,,,A,1,1,Gemini-Flash,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,,,,,2.0,2.0,2.0,0.5,6.5,False,1.0,,,,
R0209,M16,,,A,1,1,LLaMA-3-70B,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,0.0,1.5,0.5,0.0,2.0,False,0.0,C - wrong diagnosis and mgt,C - failed to diagnose potts tb or even list as differential; no tb tests requested,,
R0017,M17,,,B,1,1,Gemini-Flash,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,1.5,1.0,1.0,1.0,4.5,False,1.0,"O - NO TB screen
C - shouldn't consider cipro in the face of possible TB",C - investigations,,
R0111,M17,,,B,1,1,GPT-4o-mini,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,4.0,False,0.0,"O - NO TB screen
C - shouldn't consider cipro in the face of possible TB",,,
R0203,M17,,,A,1,1,LLaMA-3-70B,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,2.0,1.5,1.0,5.5,False,1.0,"O - NO TB screen
",O - specific antiviral?,,
R0251,M17,,,A,1,1,Claude-Sonnet,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,,,,,1.0,2.0,1.5,1.0,5.5,False,1.0,O - NO TB screen,,,
R0259,M17,,,A,1,1,GPT-4o-mini,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.0,2.0,1.0,1.0,5.0,False,0.0,O - NO TB screen,C - No TB test,,
R0024,M18,,,C,1,1,Claude-Sonnet,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,,,,,2.0,1.5,1.5,0.5,5.5,False,1.0,,,,
R0030,M18,,,C,2,1,Claude-Sonnet,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,6.0,False,0.0,,,,
R0036,M18,,,C,1,1,GPT-4o-mini,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,,,,,2.0,0.5,1.0,0.5,4.0,False,0.0,,C - wary about lumbar pucture performed in a PHC,,
R0052,M18,,,C,2,1,Gemini-Flash,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,,,,,1.5,2.0,2.0,0.5,6.0,False,0.0,,,,
R0101,M18,,,A,1,1,Claude-Sonnet,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,,,,,2.0,2.0,2.0,0.5,6.5,False,1.0,,,,
R0105,M18,,,B,1,1,Claude-Sonnet,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,0.5,4.5,False,1.0,,,,
R0135,M18,,,A,1,1,LLaMA-3-70B,1.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,,,,,1.0,1.5,2.0,0.0,4.5,False,1.0,O - no blood culture,,,
R0020,M19,,,A,1,1,LLaMA-3-70B,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,1.5,2.0,2.0,0.0,5.5,False,1.0,,O,,
R0038,M19,,,C,1,1,Claude-Sonnet,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,2.0,1.0,2.0,1.0,6.0,False,0.0,C - no O2,,,
R0177,M19,,,C,1,1,GPT-4o-mini,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,1.0,1.0,5.0,False,0.0,O - upper gi endoscopy,,,
R0269,M19,,,B,1,1,Claude-Sonnet,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,,,,,2.0,1.0,1.0,0.0,4.0,False,0.0,,,,
R0047,M20,,,B,1,1,Claude-Sonnet,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,,,,,2.0,1.0,1.0,0.0,4.0,False,0.0,C - investigations not all available,,,
R0050,M20,,,C,1,1,Gemini-Flash,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,,,,,2.0,1.0,1.5,0.0,4.5,False,1.0,C - investigations not all available,,,
R0106,M20,,,B,1,1,GPT-4o-mini,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,,,,,1.0,1.0,1.5,0.5,4.0,False,0.0,"O - mannitol, referral",,,
R0126,M20,,,A,1,1,GPT-4o-mini,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,,,,,1.0,2.0,1.5,0.0,4.5,False,1.0,,,,
R0271,M20,,,B,1,1,LLaMA-3-70B,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,1.0,1.0,1.0,0.0,3.0,False,0.0,O - mannitol,,,
R0286,M20,,,C,1,1,Claude-Sonnet,2.0,1.0,2.0,0.0,2.0,1.0,1.0,0.0,,,,,2.0,1.0,1.5,0.0,4.5,False,1.0,C - investigations not all available,,,
R0028,M21,,,C,1,1,Claude-Sonnet,2.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,,,,,2.0,1.0,0.0,1.0,4.0,False,0.0,,,,
R0147,M21,,,A,1,1,GPT-4o-mini,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,2.0,2.0,2.0,1.0,7.0,False,0.0,,,,
R0164,M21,,,C,1,1,LLaMA-3-70B,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,2.0,1.0,0.0,0.0,3.0,False,0.0,,,,
R0205,M21,,,C,1,1,GPT-4o-mini,2.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,,,,,2.0,0.5,0.5,1.0,4.0,False,0.0,,,,
R0214,M21,,,C,1,1,Gemini-Flash,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,1.0,1.0,1.0,0.0,3.0,False,0.0,,,,
R0220,M21,,,A,1,1,Gemini-Flash,2.0,1.0,2.0,0.0,1.0,2.0,1.0,0.0,,,,,1.5,1.5,1.5,0.0,4.5,False,1.0,,C - clip within 24-48 hrs,,
R0037,M22,,,C,1,1,GPT-4o-mini,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,1.0,0.0,1.0,1.0,3.0,False,0.0,O - abort with diazepam,O - Sodium valproate first line for generalized seizures. Not mentioned.,,
R0049,M22,,,B,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0109,M22,,,B,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0118,M22,,,B,1,1,Gemini-Flash,,,,,,,,,,,,,,,,,,False,,,,,
R0140,M22,,,A,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0226,M22,,,C,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0040,M23,,,C,1,1,Gemini-Flash,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,4.0,False,0.0,"C - cant do medication and investigations in phc
O - fundoscopy",O - no fundoscopy mentioned. Investigation suggestion at referral unavailable C - labetalol better for hypertensive emergencies,,
R0114,M23,,,B,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0142,M23,,,B,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0161,M23,,,C,2,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0169,M23,,,A,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0176,M23,,,A,2,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0182,M23,,,A,2,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0188,M23,,,A,1,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0007,O01,,,B,1,1,Gemini-Flash,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,1.5,1.0,1.0,0.0,3.5,False,1.0,,"O - no uterine massage; C- both bolus and infusion of oxytocin are given, ICU in a general hospital?",,
R0123,O01,,,C,2,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0204,O01,,,A,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0233,O01,,,B,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0253,O01,,,A,1,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0290,O01,,,B,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0027,O02,,,A,1,1,LLaMA-3-70B,2.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,,,,,1.5,2.0,2.0,0.0,5.5,False,1.0,,O - Positioning not mentioned. GXM in case of C/S. Inadequate info on how to control BP which is very important. No antidote mentioned for MgSO4 toxicity.,,
R0039,O02,,,A,2,1,LLaMA-3-70B,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,6.0,False,0.0,,O - prepared theatre but did not GXM,,
R0058,O02,,,A,2,1,Gemini-Flash,,,,,,,,,,,,,,,,,,False,,,,,
R0061,O02,,,C,1,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0071,O02,,,C,2,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0112,O02,,,B,1,1,Gemini-Flash,,,,,,,,,,,,,,,,,,False,,,,,
R0129,O02,,,A,1,1,Gemini-Flash,,,,,,,,,,,,,,,,,,False,,,,,
R0183,O02,,,B,1,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0227,O02,,,A,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0280,O02,,,A,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0009,O03,,,C,1,1,LLaMA-3-70B,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,1.5,1.5,1.0,1.0,5.0,False,0.0,,O - no bed rest,,
R0072,O03,,,C,1,1,Gemini-Flash,,,,,,,,,,,,,,,,,,False,,,,,
R0198,O03,,,C,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0082,O04,,,C,2,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0213,O04,,,B,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0215,O04,,,C,1,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0288,O04,,,C,2,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0117,O05,,,C,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0124,O05,,,C,1,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0145,O05,,,B,1,1,Gemini-Flash,,,,,,,,,,,,,,,,,,False,,,,,
R0171,O05,,,A,1,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0199,O05,,,B,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0212,O05,,,A,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
R0246,O05,,,A,1,1,Gemini-Flash,,,,,,,,,,,,,,,,,,False,,,,,
R0053,O06,,,B,1,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0237,O06,,,B,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0266,O06,,,A,1,1,LLaMA-3-70B,,,,,,,,,,,,,,,,,,False,,,,,
R0274,O06,,,A,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0287,O06,,,B,1,1,Gemini-Flash,,,,,,,,,,,,,,,,,,False,,,,,
R0095,O07,,,B,1,1,Claude-Sonnet,,,,,,,,,,,,,,,,,,False,,,,,
R0015,O08,,,B,1,1,Gemini-Flash,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,2.0,1.0,1.5,1.0,5.5,False,1.0,,,,
R0098,O08,,,A,1,1,GPT-4o-mini,,,,,,,,,,,,,,,,,,False,,,,,
