response_id,prompt_id,vignette_id,setting,condition,model,facility,block,primary_scorer,secondary_scorer,system_prompt,user_prompt,response,tokens_approx,call_timestamp,duration_s,error
R0048,P0190,M13,B,1,Claude-Sonnet,"General hospital in Abuja State, Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital in Abuja State, Nigeria.

A 47-year-old male presents on account of progressive abdominal distension of 1 year duration and difficulty breathing of 5 months duration. The distension is painless and has been steadily increasing. The breathlessness is exertional, worsening over the past 2 months, and he is now breathless at rest. He denies orthopnoea but reports early satiety and reduced appetite. There is no history of passage of blood in stool or dark coloured stool. He takes alcohol - about 5 bottles of beer 4-5 times a week for the past 15 years. He smokes tobacco occasionally (5 cigarettes/day). He has no history of blood transfusions, intravenous drug use. He has facial scarification marks. On examination: A middle-aged male, chronically ill-looking with muscle wasting. Afebrile, not pale, jaundiced, not dehydrated, bilateral pedal edema (pitting, to mid-shin), positive sacral edema. Palmar erythema. Gynaecomastia bilaterally.
 HR 96 bpm, regular  BP 120/80 mmHg RR 32/min SpO₂ 94% on room air
Reduced expansion on the right chest, stony dullness at the right base. Breath sounds absent at the right base.
Abdomen is massively distended. Caput medusae present, fluid thrill present. Liver not palpable Spleen not palpable
Cardiovascular: HS 1+2+3","# Management Plan: Decompensated Liver Cirrhosis with Massive Ascites and Right Pleural Effusion (Hepatic Hydrothorax)

## Immediate Resuscitation
- Supplemental oxygen via face mask targeting SpO₂ ≥95%
- IV access with large-bore cannula; fluid-restrict to avoid worsening fluid overload
- Continuous cardiac and oxygen saturation monitoring
- Nurse in sitting/semi-recumbent position

## Urgent Investigations
- **Bloods:** FBC, LFTs, RFTs, coagulation profile (PT/INR), electrolytes, serum albumin, blood glucose, HBsAg, anti-HCV, AFP
- **Ascitic tap (diagnostic paracentesis):** SAAG, protein, cell count, culture/sensitivity, cytology — to exclude SBP and malignancy
- **Pleural fluid analysis** (if thoracocentesis performed): protein, LDH, cytology, culture
- **Imaging:** Abdominal ultrasound (liver morphology, portal hypertension, spleen, vasculature), chest X-ray
- **ECG** (tachycardia evaluation, S3 noted)
- Child-Pugh and MELD scores to assess severity

## Medical Management
- **Spironolactone** 100mg daily + **Furosemide** 40mg daily (titrate with monitoring of renal function and electrolytes)
- **Propranolol** — after confirming no contraindications, for portal hypertension/variceal prophylaxis
- **Dietary:** Low-sodium diet (<2g/day), high-protein supplementation
- **Lactulose** for hepatic encephalopathy prophylaxis
- **Thiamine/B-complex** supplementation (alcohol-related)
- **Empirical Ceftriaxone** 1g IV daily if SBP suspected pending culture

## Procedural Intervention
- **Large-volume therapeutic paracentesis** with albumin cover (8g/L drained) for respiratory compromise
- Consider **thoracocentesis** if respiratory distress persists post-paracentesis

## Referral & Disposition
- Admit under Gastroenterology/Internal Medicine
- Strict alcohol cessation counselling
- Hepatology review for transplant evaluation consideration",294,2026-06-02T23:29:49.362724,13.08,
R0049,P0194,M13,C,1,Claude-Sonnet,Primary healthcare centre in Abuja State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre in Abuja State Nigeria.

A 47-year-old male presents on account of progressive abdominal distension of 1 year duration and difficulty breathing of 5 months duration. The distension is painless and has been steadily increasing. The breathlessness is exertional, worsening over the past 2 months, and he is now breathless at rest. He denies orthopnoea but reports early satiety and reduced appetite. There is no history of passage of blood in stool or dark coloured stool. He takes alcohol - about 5 bottles of beer 4-5 times a week for the past 15 years. He smokes tobacco occasionally (5 cigarettes/day). He has no history of blood transfusions, intravenous drug use. He has facial scarification marks. On examination: A middle-aged male, chronically ill-looking with muscle wasting. Afebrile, not pale, jaundiced, not dehydrated, bilateral pedal edema (pitting, to mid-shin), positive sacral edema. Palmar erythema. Gynaecomastia bilaterally.
 HR 96 bpm, regular  BP 120/80 mmHg RR 32/min SpO₂ 94% on room air
Reduced expansion on the right chest, stony dullness at the right base. Breath sounds absent at the right base.
Abdomen is massively distended. Caput medusae present, fluid thrill present. Liver not palpable Spleen not palpable
Cardiovascular: HS 1+2+3","# Management Plan: Decompensated Liver Cirrhosis with Ascites and Right Pleural Effusion (Hepatic Hydrothorax)

## Immediate Stabilisation
- Sit patient upright (45°) to optimise respiratory mechanics
- Supplemental oxygen via face mask targeting SpO₂ ≥95%
- Secure IV access; baseline bloods: FBC, LFTs, RFTs, electrolytes, coagulation profile (PT/INR), fasting blood glucose, HBsAg, Anti-HCV
- Urinalysis and urine electrolytes
- Abdominal and chest ultrasound (confirm ascites, pleural effusion, portal hypertension, hepatic parenchymal changes)
- ECG (tachycardia evaluation; S3 gallop suggests early cardiac decompensation)

## Definitive Management

**Ascites/Hepatic Hydrothorax:**
- **Therapeutic paracentesis** (large-volume) with albumin replacement (8g/L ascites removed) — prioritised given respiratory compromise
- **Diuretics:** Spironolactone 100mg daily + Furosemide 40mg daily (Aldactone:Lasix ratio 100:40); titrate to weight loss ≤500g/day
- Restrict dietary sodium (88mmol/day); moderate fluid restriction if hyponatraemic

**Hepatic Encephalopathy Prophylaxis:**
- Lactulose 30ml BD titrated to 2–3 soft stools/day

**Infection Screening:**
- Diagnostic paracentesis: cell count, culture, protein — exclude Spontaneous Bacterial Peritonitis (SBP)
- If SBP confirmed: Ceftriaxone 1g IV daily (10 days)

## Monitoring
- Daily weight, abdominal girth, urine output
- Renal function and electrolytes every 48 hours
- Child-Pugh/MELD score calculation

## Referral
- **Urgent referral to tertiary centre** (UATH/National Hospital Abuja) for hepatology review, endoscopy (variceal screening), and consideration of TIPS or transplant evaluation

## Patient Counselling
- **Strict alcohol cessation** — critical
- Smoking cessation support
- Nutritional supplementation (high-calorie, moderate protein diet)",300,2026-06-02T23:30:04.146693,13.58,
R0050,P0198,M14,A,1,Claude-Sonnet,"Teaching hospital in Kwara State, Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital in Kwara State, Nigeria.

A 28-year-old woman is brought in unresponsive by her family. She was last well until 3 weeks when family members noticed her to be drinking large quantities of water and urinating frequently, waking multiple times at night to do so. She has also been eating substantially more than usual. Over the past 5 days she became progressively weak, complained of generalised abdominal pain and nausea. She became unresponsive about 2 hours prior to presentation. There is no history of head trauma, seizures, or ingestion of any substance. No prior hospital admissions. Not a known diabetic or hypertensive patient, no family history of diabetes reported by family. She is not on any medications. On examination: A young woman unresponsive to voice, responding to pain, febrile Temperature 38.6° dehydrated, not pale, not jaundiced, not cyanosed. No pedal edema. Fruity odour of the breath HR 108 bpm, regular BP 100/72 mmHg RR 28/min SpO₂ 97% on room air  RBG (""HI"" on glucometer) Deep, slow breathing. Chest clear on auscultation HS 1+2, no murmurs. GCS 8/15 (E2V2M4). Pupils equal, 3 mm bilaterally, sluggishly reactive. No focal motor deficit on painful stimulation. Tone normal bilaterally. Plantar responses flexor bilaterally. Generalised mild tenderness on abdominal palpation , no guarding, no rigidity.
Multiple boils over bilateral lower extremities and buttocks.","# Management Plan: Diabetic Ketoacidosis (DKA) with Sepsis

## Working Diagnosis
New-onset Type 1 Diabetes Mellitus presenting with severe DKA (GCS 8, ""HI"" glucose, Kussmaul breathing, fruity breath) complicated by sepsis (furunculosis as likely precipitant, temperature 38.6°C).

---

## Immediate Resuscitation (First 1–2 Hours)

**Airway/Breathing:** Position patient, maintain airway; monitor SpO₂ continuously; prepare for intubation if GCS deteriorates further.

**IV Access & Fluids:** Insert two large-bore IVs; send bloods urgently (FBC, electrolytes, urea/creatinine, venous blood gas, blood culture, urinalysis/urine MCS). Commence **0.9% Normal Saline 1 litre over first hour**, then reassess haemodynamic status.

**Insulin Therapy:** After confirming potassium ≥3.5 mmol/L, commence **Actrapid (soluble insulin) 0.1 units/kg/hour** IV infusion. Do NOT give insulin if K⁺ unknown/low — correct potassium first.

**Potassium Replacement:** Add KCl to subsequent IV fluids per serum K⁺ result; target 4–5 mmol/L.

**Catheterise:** Insert urinary catheter; monitor hourly urine output (target ≥0.5 mL/kg/hr).

**Antibiotics:** Initiate empirical IV antibiotics for sepsis — **Ceftriaxone 2g IV stat**, given furunculosis and fever.

---

## Monitoring
- Hourly RBG, 2–4 hourly electrolytes and blood gases
- Continuous cardiac monitoring
- Neurological observations (GCS, pupils hourly)
- Wound care/dressing for boils; surgical review if fluctuant abscess

---

## Goals
Reduce glucose ~3–4 mmol/L/hour; correct acidosis; prevent cerebral oedema; treat precipitating infection. Transfer to HDU/ICU when stable.",277,2026-06-02T23:30:18.292229,12.94,
R0051,P0202,M14,A,2,Claude-Sonnet,"Teaching hospital in Kwara State, Nigeria",1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital in Kwara State, Nigeria which has Normal saline, dextrose saline, dextrose water, insulin, lab, KCl, specialist","A 28-year-old woman is brought in unresponsive by her family. She was last well until 3 weeks when family members noticed her to be drinking large quantities of water and urinating frequently, waking multiple times at night to do so. She has also been eating substantially more than usual. Over the past 5 days she became progressively weak, complained of generalised abdominal pain and nausea. She became unresponsive about 2 hours prior to presentation. There is no history of head trauma, seizures, or ingestion of any substance. No prior hospital admissions. Not a known diabetic or hypertensive patient, no family history of diabetes reported by family. She is not on any medications. On examination: A young woman unresponsive to voice, responding to pain, febrile Temperature 38.6° dehydrated, not pale, not jaundiced, not cyanosed. No pedal edema. Fruity odour of the breath HR 108 bpm, regular BP 100/72 mmHg RR 28/min SpO₂ 97% on room air  RBG (""HI"" on glucometer) Deep, slow breathing. Chest clear on auscultation HS 1+2, no murmurs. GCS 8/15 (E2V2M4). Pupils equal, 3 mm bilaterally, sluggishly reactive. No focal motor deficit on painful stimulation. Tone normal bilaterally. Plantar responses flexor bilaterally. Generalised mild tenderness on abdominal palpation , no guarding, no rigidity.
Multiple boils over bilateral lower extremities and buttocks.","## Management Plan: Diabetic Ketoacidosis (DKA) with Sepsis

### Diagnosis
New-onset Type 1 Diabetes Mellitus presenting with severe DKA (GCS 8, RBG ""HI""), likely precipitated by cutaneous infection (furunculosis/staphylococcal sepsis).

---

### Immediate Resuscitation (First 1-2 Hours)

**Airway/Breathing:**
- Position, maintain airway; consider nasopharyngeal airway
- Supplemental oxygen via face mask
- Continuous SpO₂ monitoring

**Circulation/Fluids:**
- Insert two large-bore IVs
- **0.9% Normal Saline 1 litre over first hour**, then 500ml/hour for 2 hours, reassess
- Insert urinary catheter; monitor urine output hourly (target >0.5ml/kg/hr)
- Insert NGT (aspiration risk given reduced consciousness)

---

### Investigations
- Urgent: RBS, urine ketones/dip, FBC, electrolytes (Na⁺, K⁺, Cl⁻, HCO₃⁻), urea/creatinine, blood culture, wound swab (C&S), urinalysis
- ECG (dysrhythmia from dyselectrolytemia)
- Blood gas if available

---

### Insulin Therapy
- Begin **soluble insulin infusion 0.1 units/kg/hour IV** after first hour of fluids
- When RBG <14 mmol/L, switch to 5% Dextrose + 0.45% saline

---

### Potassium Replacement
- If K⁺ <5.5 mmol/L and urine output confirmed: **KCl 20-40 mEq/L** added to IV fluids

---

### Sepsis Management
- Blood cultures before antibiotics
- **IV Ceftriaxone 2g daily** + Metronidazole 500mg TDS
- Wound care to furuncles; surgical review if fluctuant

---

### Monitoring & Escalation
- Hourly GCS, vitals, RBG
- Electrolytes 2-4 hourly
- Reassess fluid responsiveness; escalate to ICU if deteriorating
- Endocrinology/Internal Medicine review",296,2026-06-02T23:30:32.628046,13.13,
R0052,P0206,M14,B,1,Claude-Sonnet,General hospital in Kwara State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital in Kwara State Nigeria.

A 28-year-old woman is brought in unresponsive by her family. She was last well until 3 weeks when family members noticed her to be drinking large quantities of water and urinating frequently, waking multiple times at night to do so. She has also been eating substantially more than usual. Over the past 5 days she became progressively weak, complained of generalised abdominal pain and nausea. She became unresponsive about 2 hours prior to presentation. There is no history of head trauma, seizures, or ingestion of any substance. No prior hospital admissions. Not a known diabetic or hypertensive patient, no family history of diabetes reported by family. She is not on any medications. On examination: A young woman unresponsive to voice, responding to pain, febrile Temperature 38.6° dehydrated, not pale, not jaundiced, not cyanosed. No pedal edema. Fruity odour of the breath HR 108 bpm, regular BP 100/72 mmHg RR 28/min SpO₂ 97% on room air  RBG (""HI"" on glucometer) Deep, slow breathing. Chest clear on auscultation HS 1+2, no murmurs. GCS 8/15 (E2V2M4). Pupils equal, 3 mm bilaterally, sluggishly reactive. No focal motor deficit on painful stimulation. Tone normal bilaterally. Plantar responses flexor bilaterally. Generalised mild tenderness on abdominal palpation , no guarding, no rigidity.
Multiple boils over bilateral lower extremities and buttocks.","# Management Plan: Diabetic Ketoacidosis (DKA) with Sepsis

## Immediate Resuscitation (First 30–60 minutes)

**Airway/Breathing:** Position patient, maintain airway patency; consider nasopharyngeal airway. Monitor SpO₂ continuously; apply supplemental oxygen if saturation drops.

**Secure IV access:** Two large-bore peripheral IV lines.

**Fluid Resuscitation:**
- Normal saline (0.9% NaCl) 1 litre STAT over 30 minutes, then reassess
- Target: 3–4 litres in first 4–6 hours, adjusting for clinical response

## Investigations (Urgent)
- FBC, serum electrolytes (Na⁺, K⁺, Cl⁻, HCO₃⁻), urea, creatinine
- Venous/arterial blood gas (pH, bicarbonate, anion gap)
- Urinalysis (ketones, glucose, leucocytes)
- Blood cultures × 2 (prior to antibiotics)
- Wound swab from boils
- Chest X-ray, ECG

## Insulin Therapy
- **After confirming K⁺ ≥3.5 mmol/L:** Soluble (regular) insulin 0.1 units/kg/hour IV infusion
- Monitor RBG hourly; add dextrose when glucose <14 mmol/L

## Potassium Replacement
- Add KCl 20–40 mmol/L to IV fluids guided by serum K⁺ levels

## Sepsis Management
- Broad-spectrum antibiotics: IV Ceftriaxone 2g daily + IV Metronidazole 500mg TDS
- Incision and drainage of fluctuant boils when patient is stabilised

## Monitoring
- Hourly vital signs, urine output (insert urinary catheter), GCS
- 2-hourly RBG, 4-hourly electrolytes

## Subsequent Care
- ICU/HDU admission
- Diabetes educator review; plan long-term insulin therapy
- Neurosurgical/neurology review if GCS doesn't improve",281,2026-06-02T23:30:45.530928,11.7,
R0053,P0210,M14,C,1,Claude-Sonnet,Primary healthcare centre in Kwara State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre in Kwara State Nigeria.

A 28-year-old woman is brought in unresponsive by her family. She was last well until 3 weeks when family members noticed her to be drinking large quantities of water and urinating frequently, waking multiple times at night to do so. She has also been eating substantially more than usual. Over the past 5 days she became progressively weak, complained of generalised abdominal pain and nausea. She became unresponsive about 2 hours prior to presentation. There is no history of head trauma, seizures, or ingestion of any substance. No prior hospital admissions. Not a known diabetic or hypertensive patient, no family history of diabetes reported by family. She is not on any medications. On examination: A young woman unresponsive to voice, responding to pain, febrile Temperature 38.6° dehydrated, not pale, not jaundiced, not cyanosed. No pedal edema. Fruity odour of the breath HR 108 bpm, regular BP 100/72 mmHg RR 28/min SpO₂ 97% on room air  RBG (""HI"" on glucometer) Deep, slow breathing. Chest clear on auscultation HS 1+2, no murmurs. GCS 8/15 (E2V2M4). Pupils equal, 3 mm bilaterally, sluggishly reactive. No focal motor deficit on painful stimulation. Tone normal bilaterally. Plantar responses flexor bilaterally. Generalised mild tenderness on abdominal palpation , no guarding, no rigidity.
Multiple boils over bilateral lower extremities and buttocks.","# Management Plan: Diabetic Ketoacidosis (DKA) with Sepsis

## Immediate Stabilization (First 30 Minutes)

**Airway/Breathing/Circulation:**
- Position patient lateral decubitus (GCS 8, aspiration risk)
- Administer oxygen via face mask 6–8 L/min
- Establish two large-bore IV lines
- Cardiac monitoring; pulse oximetry continuously

## Fluid Resuscitation
- **0.9% Normal Saline 1 litre IV over first hour** (address hypotension and dehydration)
- Continue 500 mL/hour for next 2 hours, then reassess hydration status
- Reassess BP, HR, urine output hourly; insert urinary catheter to monitor output (target ≥0.5 mL/kg/hr)

## Insulin Therapy
- **Soluble (Regular) Insulin 0.1 units/kg/hour IV infusion** (if IV pump unavailable, IM/SC actrapid hourly is acceptable)
- Monitor RBG hourly; when glucose approaches 13–14 mmol/L, add dextrose 5% alongside saline

## Electrolyte Management
- Send blood for electrolytes urgently (potassium critical before insulin)
- Add **Potassium Chloride** to IV fluids once urine output confirmed and K⁺ <5.5 mmol/L

## Sepsis Management
- **Ceftriaxone 2g IV stat** — furunculosis/boils suggest Staphylococcal source
- Wound care to boils; culture if possible

## Monitoring and Investigations
- Urinalysis (ketones, glucose, leucocytes), FBC, electrolytes, serum bicarbonate (venous pH if available), RBG hourly
- Temperature monitoring; blood cultures before antibiotics if feasible

## Referral
- **Urgent transfer to secondary facility** (General Hospital Ilorin) with IV fluids and insulin running during transit",285,2026-06-02T23:30:58.986986,12.25,
R0054,P0214,M14,C,2,Claude-Sonnet,Primary healthcare centre in Kwara State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Primary healthcare centre in Kwara State Nigeria which has Normal saline, dextrose saline, dextrose water, insulin, no lab, glucometer and urinalysis strip present","A 28-year-old woman is brought in unresponsive by her family. She was last well until 3 weeks when family members noticed her to be drinking large quantities of water and urinating frequently, waking multiple times at night to do so. She has also been eating substantially more than usual. Over the past 5 days she became progressively weak, complained of generalised abdominal pain and nausea. She became unresponsive about 2 hours prior to presentation. There is no history of head trauma, seizures, or ingestion of any substance. No prior hospital admissions. Not a known diabetic or hypertensive patient, no family history of diabetes reported by family. She is not on any medications. On examination: A young woman unresponsive to voice, responding to pain, febrile Temperature 38.6° dehydrated, not pale, not jaundiced, not cyanosed. No pedal edema. Fruity odour of the breath HR 108 bpm, regular BP 100/72 mmHg RR 28/min SpO₂ 97% on room air  RBG (""HI"" on glucometer) Deep, slow breathing. Chest clear on auscultation HS 1+2, no murmurs. GCS 8/15 (E2V2M4). Pupils equal, 3 mm bilaterally, sluggishly reactive. No focal motor deficit on painful stimulation. Tone normal bilaterally. Plantar responses flexor bilaterally. Generalised mild tenderness on abdominal palpation , no guarding, no rigidity.
Multiple boils over bilateral lower extremities and buttocks.","# Management Plan: Diabetic Ketoacidosis (DKA) with Sepsis

## Diagnosis
**New-onset Type 1 Diabetes presenting with severe DKA**, precipitated by cutaneous sepsis (multiple boils). Supported by: classic osmotic symptoms, ""HI"" glucometer reading, Kussmaul breathing, fruity breath, ketonuria (confirm with urinalysis strip), dehydration, reduced consciousness, and fever.

---

## Immediate Resuscitation (First Hour)

**Airway/Breathing:**
- Position patient (left lateral), protect airway
- Supplemental oxygen via face mask
- Monitor SpO₂ continuously

**Circulation/Fluid Resuscitation:**
- Insert two large-bore IV cannulas
- **Normal Saline 0.9%** — 1 litre over 30 minutes, then 1 litre over 1 hour, then reassess
- Target: improvement in BP, HR, and hydration status

**Urinalysis:** Check for glycosuria and ketonuria to confirm DKA

---

## Insulin Therapy
- **Soluble (Regular) Insulin**: 0.1 units/kg/hour IV infusion
- If IV infusion unavailable: 0.1 units/kg IM/SC hourly
- Monitor RBG hourly

**When RBG approaches 14 mmol/L:**
- Switch IV fluid to **Dextrose-Saline** to prevent hypoglycaemia while continuing insulin

---

## Treat Precipitating Infection
- **Empirical IV/IM antibiotics** (e.g., Metronidazole + Amoxicillin-Clavulanate or Cloxacillin for skin/soft tissue infection)
- Wound care for boils; consider incision and drainage if fluctuant

---

## Monitoring & Supportive Care
- Strict fluid input/output chart (insert urinary catheter)
- Nasogastric tube if vomiting
- RBG hourly
- Vital signs every 30 minutes
- **Urgent referral** to secondary facility with laboratory services for electrolytes, blood gas, and potassium monitoring

---

## Potassium Consideration
Once urinary output confirmed, add potassium supplementation **only if available** before referral.",320,2026-06-02T23:31:12.974138,12.79,
R0055,P0218,M15,A,1,Claude-Sonnet,Teaching hospital in Delta State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital in Delta State Nigeria.

A 65-year-old woman presents on account of a snakebite to the 2nd toe of the right foot of 1 hour duration, sustained while working on a farm. She reports immediate severe pain at the bite site followed by swelling of the toe. She was carried in by relatives and is unable to bear weight. The snake was described by a bystander as brownish. Tourniquet was applied pn right thigh within minutes of the incident by neighbours. She has no known drug allergies.
On examination: An elderly woman in painful distress. Oriented in time, place, and person. Not febrile Temperature 36.9°C, not pale, not jaundiced, not cyanosed, not dehydrated, no pedal edema, mild swelling of the affected toe, bite marks are not open
HR 108 bpm, regular  BP 130/90 mmHg RR 18/min SpO₂ 98% on room air","# Snakebite Management Plan

## Immediate Resuscitation
- **Remove tourniquet gradually** (sudden removal risks systemic venom rush — monitor closely)
- Secure IV access (2 large-bore cannulae)
- IV Normal saline infusion to maintain hydration
- Continuous cardiac/SpO₂ monitoring

## Assessment & Investigation
- Wound inspection: clean bite site with antiseptic, assess tissue viability
- **20-Minute Whole Blood Clotting Test (20WBCT)** — critical to guide antivenom decision
- FBC, serum electrolytes, urea, creatinine, LFTs
- Urinalysis and urine output monitoring (watch for haematuria/haemoglobinuria)
- Peripheral blood film (if available)
- Coagulation profile (PT/aPTT/INR) if laboratory capacity allows

## Analgesia
- IV Morphine 2–4mg titrated OR Tramadol 100mg IV slowly
- Avoid NSAIDs (risk of bleeding if coagulopathy develops)

## Antivenom Therapy
- Brownish snake in Delta State likely **Echis ocellatus (Saw-scaled viper)** — commonest cause of snakebite envenomation in Nigeria
- Administer **polyvalent antivenom (SAIMR/EchiTAb-Plus-ICP)** if 20WBCT positive or clinical envenomation confirmed
- Premedicate: Adrenaline 0.25mg SC + Promethazine 25mg IV
- Reconstitute and infuse per protocol; monitor for anaphylaxis

## Supportive Care
- Tetanus prophylaxis (toxoid ± immunoglobulin per vaccination history)
- IV Antibiotics: Metronidazole + Amoxicillin-Clavulanate
- Elevate affected limb
- Strict input/output monitoring
- Repeat 20WBCT at 6 hours

## Disposition
Admit under General Surgery/Internal Medicine; involve senior clinician and notify pharmacy for antivenom availability.",283,2026-06-02T23:31:26.287324,12.11,
R0056,P0222,M15,B,1,Claude-Sonnet,General hospital in Delta State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital in Delta State Nigeria.

A 65-year-old woman presents on account of a snakebite to the 2nd toe of the right foot of 1 hour duration, sustained while working on a farm. She reports immediate severe pain at the bite site followed by swelling of the toe. She was carried in by relatives and is unable to bear weight. The snake was described by a bystander as brownish. Tourniquet was applied pn right thigh within minutes of the incident by neighbours. She has no known drug allergies.
On examination: An elderly woman in painful distress. Oriented in time, place, and person. Not febrile Temperature 36.9°C, not pale, not jaundiced, not cyanosed, not dehydrated, no pedal edema, mild swelling of the affected toe, bite marks are not open
HR 108 bpm, regular  BP 130/90 mmHg RR 18/min SpO₂ 98% on room air","# Snakebite Management Plan

## Immediate Actions
- **Remove tourniquet gradually** (not abruptly) while monitoring for systemic envenomation signs — prolonged tourniquet risks ischaemia/reperfusion injury
- Immobilize the right lower limb in a splint, position at heart level
- Establish IV access (wide-bore cannula, antecubital fossa)
- Draw baseline bloods: FBC, clotting profile (PT/APTT/INR), BUG/electrolytes, urinalysis, blood grouping

## Analgesia
- IV Morphine 2–4mg titrated for pain relief
- Alternatively: IV Tramadol 50–100mg slowly

## Monitoring
- Vital signs every 30 minutes
- Neurotoxicity signs: ptosis, diplopia, respiratory distress
- Haematotoxicity signs: bleeding gums, haematuria, haematemesis
- Local progression: mark swelling margins with pen, monitor hourly

## Antivenom Consideration
- Snake description (brownish) in Delta State — likely **Carpet viper (*Echis ocellatus*)** — most common cause of snakebite envenomation in Nigeria
- Current findings suggest **local envenomation** (mild swelling, no systemic features yet)
- **Administer Polyvalent Snake Antivenom (SAIMR/VINS)** — 2–4 vials IV in 200mL normal saline over 30–60 minutes, given evolving local envenomation post-tourniquet
- Pre-treat with IV Hydrocortisone 200mg and IV Promethazine 25mg to reduce anaphylaxis risk

## Supportive Care
- IV fluid resuscitation (Normal saline 0.9%)
- Tetanus prophylaxis
- Empiric antibiotics: IV Amoxicillin-Clavulanate or Metronidazole + Ceftriaxone
- Wound care; avoid incision

## Disposition
- Admit for **minimum 24–48-hour observation**
- Surgical consult if compartment syndrome develops",287,2026-06-02T23:31:39.599537,12.11,
R0057,P0226,M15,C,1,Claude-Sonnet,Primary healthcare centre in Delta State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre in Delta State Nigeria.

A 65-year-old woman presents on account of a snakebite to the 2nd toe of the right foot of 1 hour duration, sustained while working on a farm. She reports immediate severe pain at the bite site followed by swelling of the toe. She was carried in by relatives and is unable to bear weight. The snake was described by a bystander as brownish. Tourniquet was applied pn right thigh within minutes of the incident by neighbours. She has no known drug allergies.
On examination: An elderly woman in painful distress. Oriented in time, place, and person. Not febrile Temperature 36.9°C, not pale, not jaundiced, not cyanosed, not dehydrated, no pedal edema, mild swelling of the affected toe, bite marks are not open
HR 108 bpm, regular  BP 130/90 mmHg RR 18/min SpO₂ 98% on room air","# Snakebite Management – Primary Healthcare Centre, Delta State

## Immediate Actions

**Remove tourniquet gradually** (not abruptly) while monitoring for systemic deterioration – prolonged tourniquet risks ischemia. Monitor closely for 30 minutes after removal.

**Immobilize** the affected limb below heart level. Keep patient calm and restrict movement.

## Assessment

Likely **cytotoxic/hemotoxic envenomation** (probable carpet/saw-scaled viper given brownish description and local tissue effects). Currently appears to have **mild-moderate local envenomation** with no systemic features yet.

## Investigations (if available)

- Full blood count, blood film
- Clotting studies (20-minute whole blood clotting test – WBCT20)
- Urinalysis (hemoglobinuria/proteinuria)
- RBS, BUN, creatinine

## Treatment

**Analgesics:** Paracetamol 1g IV/oral every 8 hours; avoid NSAIDs/aspirin (bleeding risk)

**Wound care:** Gentle cleaning with normal saline; do NOT incise, suck, or apply herbs

**Tetanus prophylaxis:** Tetanus toxoid 0.5mL IM (if not recently immunized)

**IV access:** Insert wide-bore cannula; commence IV Normal Saline to maintain hydration

**Antivenom:** Polyvalent antivenom **not indicated yet** at this stage given only local swelling; reassess – administer if progressive swelling, systemic signs, or abnormal WBCT20 develop

**Antibiotics:** Amoxicillin-clavulanate 625mg BD orally to prevent secondary infection

## Referral

**Urgent referral to secondary facility** (DELSUTH/CEHCR) with antivenom capacity given: age, hypertension, potential progression, and need for monitoring.

## Monitoring

Vital signs every 15–30 minutes; document swelling progression with pen markings.",282,2026-06-02T23:31:53.320528,12.52,
