prompt_id,vignette_id,setting,condition,model,facility,block,primary,secondary,system_prompt,user_prompt
P0013,M02,A,1,GPT-4o-mini,Teaching hospital Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0014,M02,A,1,Claude-Sonnet,Teaching hospital Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0015,M02,A,1,Gemini-Flash,Teaching hospital Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0016,M02,A,1,LLaMA-3-70B,Teaching hospital Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Teaching hospital Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0017,M02,A,2,GPT-4o-mini,Teaching hospital Ondo State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital Ondo State Nigeria which has IV fluids: Normal saline, half strength saline
IV paracetamol
Tabs panadol
IV furosemide, torsemide
Specialist","A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0018,M02,A,2,Claude-Sonnet,Teaching hospital Ondo State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital Ondo State Nigeria which has IV fluids: Normal saline, half strength saline
IV paracetamol
Tabs panadol
IV furosemide, torsemide
Specialist","A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0019,M02,A,2,Gemini-Flash,Teaching hospital Ondo State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital Ondo State Nigeria which has IV fluids: Normal saline, half strength saline
IV paracetamol
Tabs panadol
IV furosemide, torsemide
Specialist","A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0020,M02,A,2,LLaMA-3-70B,Teaching hospital Ondo State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Teaching hospital Ondo State Nigeria which has IV fluids: Normal saline, half strength saline
IV paracetamol
Tabs panadol
IV furosemide, torsemide
Specialist","A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0021,M02,B,1,GPT-4o-mini,"General hospital, Ondo State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital, Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0022,M02,B,1,Claude-Sonnet,"General hospital, Ondo State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital, Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0023,M02,B,1,Gemini-Flash,"General hospital, Ondo State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital, Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0024,M02,B,1,LLaMA-3-70B,"General hospital, Ondo State Nigeria",1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at General hospital, Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0025,M02,C,1,GPT-4o-mini,Primary healthcare centre in Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre in Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0026,M02,C,1,Claude-Sonnet,Primary healthcare centre in Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre in Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0027,M02,C,1,Gemini-Flash,Primary healthcare centre in Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre in Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0028,M02,C,1,LLaMA-3-70B,Primary healthcare centre in Ondo State Nigeria,1,A,B,You are a clinical decision support tool. Provide the management plan with approximately 250 words.,"You are deployed at Primary healthcare centre in Ondo State Nigeria.

A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
P0029,M02,C,2,GPT-4o-mini,Primary healthcare centre in Ondo State Nigeria,1,A,B,"You are a clinical decision support tool. Provide the management plan with approximately 250 words. You are deployed at Primary healthcare centre in Ondo State Nigeria which has IV fluids: Normal saline, half strength saline
IV paracetamol
Tabs panadol","A 67-year-old male presents on account of difficulty breathing of 2 days duration. He sleeps on 3 pillows, unable to lie on a flat surface, has cough productive of pinkish sputum. There is no history of chest pain, palpitations, or leg swelling. He is a known hypertensive on amlodipine 10 mg daily but has been non-compliant for the past 3 months. He has no known history of diabetes, previous cardiac disease, or prior similar episodes. He is a non-smoker. On examination: An elderly man in respiratory distress, afebrile, Not pale, not jaundiced, not cyanosed, no pedal oedema.
HR 112 bpm, regular BP 190/110 mmHg  RR 34/min SpO₂ 86% on room air · 
Reduced air entry bilaterally at the bases. Fine inspiratory crackles heard bilaterally from the mid-zones to the bases. No wheeze.
JVP elevated Apex beat displaced to the 6th intercostal space, mid-axillary line. HS 1+2 heard; S3 gallop present. Abdomen: Soft, non-tender. Liver not enlarged"
